nifB,nifE,nifK,nifM,nifN,nifS
"t12, p10","t18, p7","t7, p35","t7, p44","t9, p22","t20, p36"
"t12, p2","t18, p7","t7, p35","t7, p44","t9, p22","t16, p36"
"t12, p10","t11, p7","t7, p35","t7, p44","t9, p22","t16, p36"
"t12, p2","t11, p7","t7, p35","t7, p44","t9, p22","t20, p36"
"t12, p10","t18, p7","t7, p11","t7, p44","t9, p22","t16, p36"
"t12, p2","t18, p7","t7, p11","t7, p44","t9, p22","t20, p36"
"t12, p10","t11, p7","t7, p11","t7, p44","t9, p22","t20, p36"
"t12, p2","t11, p7","t7, p11","t7, p44","t9, p22","t16, p36"
"t12, p10","t18, p7","t7, p35","t15, p44","t9, p22","t16, p36"
"t12, p2","t18, p7","t7, p35","t15, p44","t9, p22","t20, p36"
"t12, p10","t11, p7","t7, p35","t15, p44","t9, p22","t20, p36"
"t12, p2","t11, p7","t7, p35","t15, p44","t9, p22","t16, p36"
"t12, p10","t18, p7","t7, p11","t15, p44","t9, p22","t20, p36"
"t12, p2","t18, p7","t7, p11","t15, p44","t9, p22","t16, p36"
"t12, p10","t11, p7","t7, p11","t15, p44","t9, p22","t16, p36"
"t12, p2","t11, p7","t7, p11","t15, p44","t9, p22","t20, p36"
"t12, p10","t18, p7","t7, p35","t7, p44","t9, p24","t20, p36"
"t12, p2","t18, p7","t7, p35","t7, p44","t9, p24","t16, p36"
"t12, p10","t11, p7","t7, p35","t7, p44","t9, p24","t16, p36"
"t12, p2","t11, p7","t7, p35","t7, p44","t9, p24","t20, p36"
"t12, p10","t18, p7","t7, p11","t7, p44","t9, p24","t16, p36"
"t12, p2","t18, p7","t7, p11","t7, p44","t9, p24","t20, p36"
"t12, p10","t11, p7","t7, p11","t7, p44","t9, p24","t20, p36"
"t12, p2","t11, p7","t7, p11","t7, p44","t9, p24","t16, p36"
"t12, p10","t18, p7","t7, p35","t15, p44","t9, p24","t16, p36"
"t12, p2","t18, p7","t7, p35","t15, p44","t9, p24","t20, p36"
"t12, p10","t11, p7","t7, p35","t15, p44","t9, p24","t20, p36"
"t12, p2","t11, p7","t7, p35","t15, p44","t9, p24","t16, p36"
"t12, p10","t18, p7","t7, p11","t15, p44","t9, p24","t20, p36"
"t12, p2","t18, p7","t7, p11","t15, p44","t9, p24","t16, p36"
"t12, p10","t11, p7","t7, p11","t15, p44","t9, p24","t16, p36"
"t12, p2","t11, p7","t7, p11","t15, p44","t9, p24","t20, p36"
