nifB,nifE,nifK,nifM,nifN,nifS
5046,6109,485,4932,5555,16500
7140,6109,485,4932,5555,6591
5046,6662,485,4932,5555,6591
7140,6662,485,4932,5555,16500
5046,6109,1428,4932,5555,6591
7140,6109,1428,4932,5555,16500
5046,6662,1428,4932,5555,16500
7140,6662,1428,4932,5555,6591
5046,6109,485,5950,5555,6591
7140,6109,485,5950,5555,16500
5046,6662,485,5950,5555,16500
7140,6662,485,5950,5555,6591
5046,6109,1428,5950,5555,16500
7140,6109,1428,5950,5555,6591
5046,6662,1428,5950,5555,6591
7140,6662,1428,5950,5555,16500
5046,6109,485,4932,6917,16500
7140,6109,485,4932,6917,6591
5046,6662,485,4932,6917,6591
7140,6662,485,4932,6917,16500
5046,6109,1428,4932,6917,6591
7140,6109,1428,4932,6917,16500
5046,6662,1428,4932,6917,16500
7140,6662,1428,4932,6917,6591
5046,6109,485,5950,6917,6591
7140,6109,485,5950,6917,16500
5046,6662,485,5950,6917,16500
7140,6662,485,5950,6917,6591
5046,6109,1428,5950,6917,16500
7140,6109,1428,5950,6917,6591
5046,6662,1428,5950,6917,6591
7140,6662,1428,5950,6917,16500
