nifB,nifE,nifK,nifM,nifN,nifS,yield,yieldSD
5046.0,6109.0,485.0,4932.0,5555.0,16500.0,324.3333333333333,23.45918441321721
7140.0,6109.0,485.0,4932.0,5555.0,6591.0,302.0,5.291502622129181
5046.0,6662.0,485.0,4932.0,5555.0,6591.0,323.0,32.90896534380867
7140.0,6662.0,485.0,4932.0,5555.0,16500.0,299.3333333333333,41.52509281546922
5046.0,6109.0,1428.0,4932.0,5555.0,6591.0,430.0,41.0731055558257
7140.0,6109.0,1428.0,4932.0,5555.0,16500.0,434.0,11.357816691600547
5046.0,6662.0,1428.0,4932.0,5555.0,16500.0,437.0,18.520259177452136
7140.0,6662.0,1428.0,4932.0,5555.0,6591.0,419.3333333333333,37.28717384481336
5046.0,6109.0,485.0,5950.0,5555.0,6591.0,292.3333333333333,12.220201853215572
7140.0,6109.0,485.0,5950.0,5555.0,16500.0,326.6666666666667,53.7804177497101
5046.0,6662.0,485.0,5950.0,5555.0,16500.0,284.0,34.698703145794944
7140.0,6662.0,485.0,5950.0,5555.0,6591.0,312.3333333333333,25.146238950056393
5046.0,6109.0,1428.0,5950.0,5555.0,16500.0,442.6666666666667,10.263202878893768
7140.0,6109.0,1428.0,5950.0,5555.0,6591.0,421.3333333333333,10.016652800877813
5046.0,6662.0,1428.0,5950.0,5555.0,6591.0,433.0,16.64331697709324
7140.0,6662.0,1428.0,5950.0,5555.0,16500.0,422.0,4.58257569495584
5046.0,6109.0,485.0,4932.0,6917.0,16500.0,317.6666666666667,27.53785273643051
7140.0,6109.0,485.0,4932.0,6917.0,6591.0,318.6666666666667,28.53652630109932
5046.0,6662.0,485.0,4932.0,6917.0,6591.0,318.0,30.805843601498726
7140.0,6662.0,485.0,4932.0,6917.0,16500.0,314.3333333333333,33.54598833442434
5046.0,6109.0,1428.0,4932.0,6917.0,6591.0,419.6666666666667,8.504900548115383
7140.0,6109.0,1428.0,4932.0,6917.0,16500.0,422.3333333333333,38.52704677669096
5046.0,6662.0,1428.0,4932.0,6917.0,16500.0,423.6666666666667,3.511884584284246
7140.0,6662.0,1428.0,4932.0,6917.0,6591.0,453.0,32.18695387886216
5046.0,6109.0,485.0,5950.0,6917.0,6591.0,302.3333333333333,22.18858565419016
7140.0,6109.0,485.0,5950.0,6917.0,16500.0,289.6666666666667,38.37099599089569
5046.0,6662.0,485.0,5950.0,6917.0,16500.0,307.0,17.05872210923198
7140.0,6662.0,485.0,5950.0,6917.0,6591.0,309.6666666666667,39.51371070063318
5046.0,6109.0,1428.0,5950.0,6917.0,16500.0,446.0,37.36308338453881
7140.0,6109.0,1428.0,5950.0,6917.0,6591.0,450.6666666666667,24.542480178933285
5046.0,6662.0,1428.0,5950.0,6917.0,6591.0,435.3333333333333,32.316146634976974
7140.0,6662.0,1428.0,5950.0,6917.0,16500.0,445.6666666666667,7.094598884597588
