nifB,nifD,nifE,nifH,nifK,nifM,nifN,nifS,nifU,yield,yieldSD
723.0,550.0,946.0,779.0,396.0,5150.0,6327.0,6633.0,6917.0,247.33333333333334,19.5021366350801
6468.0,550.0,946.0,779.0,396.0,839.0,941.0,838.0,770.0,193.0,4.358898943540674
723.0,5543.0,946.0,779.0,396.0,839.0,941.0,838.0,6917.0,158.66666666666666,12.055427546683415
6468.0,5543.0,946.0,779.0,396.0,5150.0,6327.0,6633.0,770.0,243.0,44.799553569204235
723.0,550.0,6243.0,779.0,396.0,839.0,941.0,6633.0,770.0,194.33333333333334,30.03886371574886
6468.0,550.0,6243.0,779.0,396.0,5150.0,6327.0,838.0,6917.0,271.0,10.14889156509222
723.0,5543.0,6243.0,779.0,396.0,5150.0,6327.0,838.0,770.0,232.66666666666666,16.165807537309522
6468.0,5543.0,6243.0,779.0,396.0,839.0,941.0,6633.0,6917.0,236.66666666666666,15.88500340992514
723.0,550.0,946.0,6801.0,396.0,839.0,6327.0,838.0,770.0,185.33333333333334,16.165807537309522
6468.0,550.0,946.0,6801.0,396.0,5150.0,941.0,6633.0,6917.0,223.33333333333334,15.30795000427338
723.0,5543.0,946.0,6801.0,396.0,5150.0,941.0,6633.0,770.0,204.0,14.52583904633395
6468.0,5543.0,946.0,6801.0,396.0,839.0,6327.0,838.0,6917.0,220.66666666666666,36.69241520169166
723.0,550.0,6243.0,6801.0,396.0,5150.0,941.0,838.0,6917.0,214.66666666666666,24.37895267096873
6468.0,550.0,6243.0,6801.0,396.0,839.0,6327.0,6633.0,770.0,244.0,32.60368077380221
723.0,5543.0,6243.0,6801.0,396.0,839.0,6327.0,6633.0,6917.0,223.33333333333334,15.01110699893027
6468.0,5543.0,6243.0,6801.0,396.0,5150.0,941.0,838.0,770.0,221.66666666666666,1.5275252316519465
723.0,550.0,946.0,779.0,4709.0,5150.0,941.0,838.0,770.0,276.0,17.69180601295413
6468.0,550.0,946.0,779.0,4709.0,839.0,6327.0,6633.0,6917.0,336.6666666666667,20.502032419575706
723.0,5543.0,946.0,779.0,4709.0,839.0,6327.0,6633.0,770.0,271.3333333333333,22.03028218914441
6468.0,5543.0,946.0,779.0,4709.0,5150.0,941.0,838.0,6917.0,298.3333333333333,11.590225767142472
723.0,550.0,6243.0,779.0,4709.0,839.0,6327.0,838.0,6917.0,295.0,8.54400374531753
6468.0,550.0,6243.0,779.0,4709.0,5150.0,941.0,6633.0,770.0,409.6666666666667,28.448784391135828
723.0,5543.0,6243.0,779.0,4709.0,5150.0,941.0,6633.0,6917.0,327.0,49.78955713801841
6468.0,5543.0,6243.0,779.0,4709.0,839.0,6327.0,838.0,770.0,344.6666666666667,22.368132093076824
723.0,550.0,946.0,6801.0,4709.0,839.0,941.0,6633.0,6917.0,284.3333333333333,17.7857620959388
6468.0,550.0,946.0,6801.0,4709.0,5150.0,6327.0,838.0,770.0,357.0,6.082762530298219
723.0,5543.0,946.0,6801.0,4709.0,5150.0,6327.0,838.0,6917.0,282.0,22.9128784747792
6468.0,5543.0,946.0,6801.0,4709.0,839.0,941.0,6633.0,770.0,313.0,16.46207763315433
723.0,550.0,6243.0,6801.0,4709.0,5150.0,6327.0,6633.0,770.0,383.6666666666667,6.3508529610858835
6468.0,550.0,6243.0,6801.0,4709.0,839.0,941.0,838.0,6917.0,282.3333333333333,28.53652630109932
723.0,5543.0,6243.0,6801.0,4709.0,839.0,941.0,838.0,770.0,228.33333333333334,19.139836293274126
6468.0,5543.0,6243.0,6801.0,4709.0,5150.0,6327.0,6633.0,6917.0,481.6666666666667,13.316656236958785
