nifB,nifD,nifE,nifH,nifK,nifM,nifN,nifS,nifU
"t28, p7","t10, p30","t14, p38","t6, p1","t20, p35","t12, p5","t15, p22","t19, p16","t9, p24"
"t39, p7","t10, p30","t14, p38","t6, p1","t20, p35","t12, p15","t15, p11","t27, p16","t29, p24"
"t28, p7","t10, p36","t14, p38","t6, p1","t20, p35","t12, p15","t15, p11","t27, p16","t9, p24"
"t39, p7","t10, p36","t14, p38","t6, p1","t20, p35","t12, p5","t15, p22","t19, p16","t29, p24"
"t28, p7","t10, p30","t14, p26","t6, p1","t20, p35","t12, p15","t15, p11","t19, p16","t29, p24"
"t39, p7","t10, p30","t14, p26","t6, p1","t20, p35","t12, p5","t15, p22","t27, p16","t9, p24"
"t28, p7","t10, p36","t14, p26","t6, p1","t20, p35","t12, p5","t15, p22","t27, p16","t29, p24"
"t39, p7","t10, p36","t14, p26","t6, p1","t20, p35","t12, p15","t15, p11","t19, p16","t9, p24"
"t28, p7","t10, p30","t14, p38","t6, p44","t20, p35","t12, p15","t15, p22","t27, p16","t29, p24"
"t39, p7","t10, p30","t14, p38","t6, p44","t20, p35","t12, p5","t15, p11","t19, p16","t9, p24"
"t28, p7","t10, p36","t14, p38","t6, p44","t20, p35","t12, p5","t15, p11","t19, p16","t29, p24"
"t39, p7","t10, p36","t14, p38","t6, p44","t20, p35","t12, p15","t15, p22","t27, p16","t9, p24"
"t28, p7","t10, p30","t14, p26","t6, p44","t20, p35","t12, p5","t15, p11","t27, p16","t9, p24"
"t39, p7","t10, p30","t14, p26","t6, p44","t20, p35","t12, p15","t15, p22","t19, p16","t29, p24"
"t28, p7","t10, p36","t14, p26","t6, p44","t20, p35","t12, p15","t15, p22","t19, p16","t9, p24"
"t39, p7","t10, p36","t14, p26","t6, p44","t20, p35","t12, p5","t15, p11","t27, p16","t29, p24"
"t28, p7","t10, p30","t14, p38","t6, p1","t20, p2","t12, p5","t15, p11","t27, p16","t29, p24"
"t39, p7","t10, p30","t14, p38","t6, p1","t20, p2","t12, p15","t15, p22","t19, p16","t9, p24"
"t28, p7","t10, p36","t14, p38","t6, p1","t20, p2","t12, p15","t15, p22","t19, p16","t29, p24"
"t39, p7","t10, p36","t14, p38","t6, p1","t20, p2","t12, p5","t15, p11","t27, p16","t9, p24"
"t28, p7","t10, p30","t14, p26","t6, p1","t20, p2","t12, p15","t15, p22","t27, p16","t9, p24"
"t39, p7","t10, p30","t14, p26","t6, p1","t20, p2","t12, p5","t15, p11","t19, p16","t29, p24"
"t28, p7","t10, p36","t14, p26","t6, p1","t20, p2","t12, p5","t15, p11","t19, p16","t9, p24"
"t39, p7","t10, p36","t14, p26","t6, p1","t20, p2","t12, p15","t15, p22","t27, p16","t29, p24"
"t28, p7","t10, p30","t14, p38","t6, p44","t20, p2","t12, p15","t15, p11","t19, p16","t9, p24"
"t39, p7","t10, p30","t14, p38","t6, p44","t20, p2","t12, p5","t15, p22","t27, p16","t29, p24"
"t28, p7","t10, p36","t14, p38","t6, p44","t20, p2","t12, p5","t15, p22","t27, p16","t9, p24"
"t39, p7","t10, p36","t14, p38","t6, p44","t20, p2","t12, p15","t15, p11","t19, p16","t29, p24"
"t28, p7","t10, p30","t14, p26","t6, p44","t20, p2","t12, p5","t15, p22","t19, p16","t29, p24"
"t39, p7","t10, p30","t14, p26","t6, p44","t20, p2","t12, p15","t15, p11","t27, p16","t9, p24"
"t28, p7","t10, p36","t14, p26","t6, p44","t20, p2","t12, p15","t15, p11","t27, p16","t29, p24"
"t39, p7","t10, p36","t14, p26","t6, p44","t20, p2","t12, p5","t15, p22","t19, p16","t9, p24"
