nifB,nifD,nifE,nifH,nifK,nifM,nifN,nifS,nifU
723,550,946,779,396,5150,6327,6633,6917
6468,550,946,779,396,839,941,838,770
723,5543,946,779,396,839,941,838,6917
6468,5543,946,779,396,5150,6327,6633,770
723,550,6243,779,396,839,941,6633,770
6468,550,6243,779,396,5150,6327,838,6917
723,5543,6243,779,396,5150,6327,838,770
6468,5543,6243,779,396,839,941,6633,6917
723,550,946,6801,396,839,6327,838,770
6468,550,946,6801,396,5150,941,6633,6917
723,5543,946,6801,396,5150,941,6633,770
6468,5543,946,6801,396,839,6327,838,6917
723,550,6243,6801,396,5150,941,838,6917
6468,550,6243,6801,396,839,6327,6633,770
723,5543,6243,6801,396,839,6327,6633,6917
6468,5543,6243,6801,396,5150,941,838,770
723,550,946,779,4709,5150,941,838,770
6468,550,946,779,4709,839,6327,6633,6917
723,5543,946,779,4709,839,6327,6633,770
6468,5543,946,779,4709,5150,941,838,6917
723,550,6243,779,4709,839,6327,838,6917
6468,550,6243,779,4709,5150,941,6633,770
723,5543,6243,779,4709,5150,941,6633,6917
6468,5543,6243,779,4709,839,6327,838,770
723,550,946,6801,4709,839,941,6633,6917
6468,550,946,6801,4709,5150,6327,838,770
723,5543,946,6801,4709,5150,6327,838,6917
6468,5543,946,6801,4709,839,941,6633,770
723,550,6243,6801,4709,5150,6327,6633,770
6468,550,6243,6801,4709,839,941,838,6917
723,5543,6243,6801,4709,839,941,838,770
6468,5543,6243,6801,4709,5150,6327,6633,6917
