nifB,nifE,nifK,nifM,nifN,nifS
"t39, p16","t7, p23","t1, p25","t5, p26","t12, p10","t14, p22"
"t11, p2","t7, p23","t1, p25","t5, p26","t12, p10","t2, p24"
"t39, p16","t20, p7","t1, p25","t5, p26","t12, p10","t2, p24"
"t11, p2","t20, p7","t1, p25","t5, p26","t12, p10","t14, p22"
"t39, p16","t7, p23","t38, p11","t5, p26","t12, p10","t2, p24"
"t11, p2","t7, p23","t38, p11","t5, p26","t12, p10","t14, p22"
"t39, p16","t20, p7","t38, p11","t5, p26","t12, p10","t14, p22"
"t11, p2","t20, p7","t38, p11","t5, p26","t12, p10","t2, p24"
"t39, p16","t7, p23","t1, p25","t18, p44","t12, p10","t2, p24"
"t11, p2","t7, p23","t1, p25","t18, p44","t12, p10","t14, p22"
"t39, p16","t20, p7","t1, p25","t18, p44","t12, p10","t14, p22"
"t11, p2","t20, p7","t1, p25","t18, p44","t12, p10","t2, p24"
"t39, p16","t7, p23","t38, p11","t18, p44","t12, p10","t14, p22"
"t11, p2","t7, p23","t38, p11","t18, p44","t12, p10","t2, p24"
"t39, p16","t20, p7","t38, p11","t18, p44","t12, p10","t2, p24"
"t11, p2","t20, p7","t38, p11","t18, p44","t12, p10","t14, p22"
"t39, p16","t7, p23","t1, p25","t5, p26","t13, p36","t14, p22"
"t11, p2","t7, p23","t1, p25","t5, p26","t13, p36","t2, p24"
"t39, p16","t20, p7","t1, p25","t5, p26","t13, p36","t2, p24"
"t11, p2","t20, p7","t1, p25","t5, p26","t13, p36","t14, p22"
"t39, p16","t7, p23","t38, p11","t5, p26","t13, p36","t2, p24"
"t11, p2","t7, p23","t38, p11","t5, p26","t13, p36","t14, p22"
"t39, p16","t20, p7","t38, p11","t5, p26","t13, p36","t14, p22"
"t11, p2","t20, p7","t38, p11","t5, p26","t13, p36","t2, p24"
"t39, p16","t7, p23","t1, p25","t18, p44","t13, p36","t2, p24"
"t11, p2","t7, p23","t1, p25","t18, p44","t13, p36","t14, p22"
"t39, p16","t20, p7","t1, p25","t18, p44","t13, p36","t14, p22"
"t11, p2","t20, p7","t1, p25","t18, p44","t13, p36","t2, p24"
"t39, p16","t7, p23","t38, p11","t18, p44","t13, p36","t14, p22"
"t11, p2","t7, p23","t38, p11","t18, p44","t13, p36","t2, p24"
"t39, p16","t20, p7","t38, p11","t18, p44","t13, p36","t2, p24"
"t11, p2","t20, p7","t38, p11","t18, p44","t13, p36","t14, p22"
