nifB,nifE,nifK,nifM,nifN,nifS
5125,5645,2013,5066,5046,12000
7733,5645,2013,5066,5046,8483
5125,7472,2013,5066,5046,8483
7733,7472,2013,5066,5046,12000
5125,5645,4048,5066,5046,8483
7733,5645,4048,5066,5046,12000
5125,7472,4048,5066,5046,12000
7733,7472,4048,5066,5046,8483
5125,5645,2013,7499,5046,8483
7733,5645,2013,7499,5046,12000
5125,7472,2013,7499,5046,12000
7733,7472,2013,7499,5046,8483
5125,5645,4048,7499,5046,12000
7733,5645,4048,7499,5046,8483
5125,7472,4048,7499,5046,8483
7733,7472,4048,7499,5046,12000
5125,5645,2013,5066,7798,12000
7733,5645,2013,5066,7798,8483
5125,7472,2013,5066,7798,8483
7733,7472,2013,5066,7798,12000
5125,5645,4048,5066,7798,8483
7733,5645,4048,5066,7798,12000
5125,7472,4048,5066,7798,12000
7733,7472,4048,5066,7798,8483
5125,5645,2013,7499,7798,8483
7733,5645,2013,7499,7798,12000
5125,7472,2013,7499,7798,12000
7733,7472,2013,7499,7798,8483
5125,5645,4048,7499,7798,12000
7733,5645,4048,7499,7798,8483
5125,7472,4048,7499,7798,8483
7733,7472,4048,7499,7798,12000
