nifB,nifE,nifK,nifM,nifN,nifS,yield,yieldSD
5125.0,5645.0,2013.0,5066.0,5046.0,12000.0,455.6666666666667,30.237945256470937
7733.0,5645.0,2013.0,5066.0,5046.0,8483.0,434.0,14.177446878757825
5125.0,7472.0,2013.0,5066.0,5046.0,8483.0,424.6666666666667,21.221058723196006
7733.0,7472.0,2013.0,5066.0,5046.0,12000.0,449.0,4.358898943540674
5125.0,5645.0,4048.0,5066.0,5046.0,8483.0,478.3333333333333,19.857828011475306
7733.0,5645.0,4048.0,5066.0,5046.0,12000.0,411.3333333333333,33.560889936551646
5125.0,7472.0,4048.0,5066.0,5046.0,12000.0,464.3333333333333,20.033305601755625
7733.0,7472.0,4048.0,5066.0,5046.0,8483.0,454.3333333333333,27.135462651912412
5125.0,5645.0,2013.0,7499.0,5046.0,8483.0,437.6666666666667,9.073771725877467
7733.0,5645.0,2013.0,7499.0,5046.0,12000.0,458.3333333333333,21.221058723196006
5125.0,7472.0,2013.0,7499.0,5046.0,12000.0,456.3333333333333,27.50151510977774
7733.0,7472.0,2013.0,7499.0,5046.0,8483.0,445.0,16.09347693943108
5125.0,5645.0,4048.0,7499.0,5046.0,12000.0,446.6666666666667,22.5905584998099
7733.0,5645.0,4048.0,7499.0,5046.0,8483.0,431.3333333333333,31.659648345067467
5125.0,7472.0,4048.0,7499.0,5046.0,8483.0,470.6666666666667,27.024680078279065
7733.0,7472.0,4048.0,7499.0,5046.0,12000.0,475.6666666666667,11.930353445448853
5125.0,5645.0,2013.0,5066.0,7798.0,12000.0,462.6666666666667,20.55075018906447
7733.0,5645.0,2013.0,5066.0,7798.0,8483.0,465.6666666666667,20.744477176668813
5125.0,7472.0,2013.0,5066.0,7798.0,8483.0,444.6666666666667,9.60902353693305
7733.0,7472.0,2013.0,5066.0,7798.0,12000.0,438.3333333333333,7.571877794400365
5125.0,5645.0,4048.0,5066.0,7798.0,8483.0,465.6666666666667,12.503332889007368
7733.0,5645.0,4048.0,5066.0,7798.0,12000.0,457.0,31.432467291003423
5125.0,7472.0,4048.0,5066.0,7798.0,12000.0,456.6666666666667,11.015141094572204
7733.0,7472.0,4048.0,5066.0,7798.0,8483.0,444.6666666666667,12.34233905438241
5125.0,5645.0,2013.0,7499.0,7798.0,8483.0,451.6666666666667,14.29452109492771
7733.0,5645.0,2013.0,7499.0,7798.0,12000.0,449.0,44.93328387732194
5125.0,7472.0,2013.0,7499.0,7798.0,12000.0,435.3333333333333,44.45597072760118
7733.0,7472.0,2013.0,7499.0,7798.0,8483.0,450.0,16.09347693943108
5125.0,5645.0,4048.0,7499.0,7798.0,12000.0,454.3333333333333,16.502525059315417
7733.0,5645.0,4048.0,7499.0,7798.0,8483.0,475.3333333333333,16.258331197676263
5125.0,7472.0,4048.0,7499.0,7798.0,8483.0,452.0,35.53871128783372
7733.0,7472.0,4048.0,7499.0,7798.0,12000.0,462.0,20.074859899884732
