nifB,nifE,nifK,nifM,nifN,nifS
"t2, p22","t11, p16","t15, p24","t12, p23","t8, p7","t30, p36"
"t20, p22","t11, p16","t15, p24","t12, p23","t8, p7","t39, p36"
"t2, p22","t11, p2","t15, p24","t12, p23","t8, p7","t39, p36"
"t20, p22","t11, p2","t15, p24","t12, p23","t8, p7","t30, p36"
"t2, p22","t11, p16","t14, p24","t12, p23","t8, p7","t39, p36"
"t20, p22","t11, p16","t14, p24","t12, p23","t8, p7","t30, p36"
"t2, p22","t11, p2","t14, p24","t12, p23","t8, p7","t30, p36"
"t20, p22","t11, p2","t14, p24","t12, p23","t8, p7","t39, p36"
"t2, p22","t11, p16","t15, p24","t12, p44","t8, p7","t39, p36"
"t20, p22","t11, p16","t15, p24","t12, p44","t8, p7","t30, p36"
"t2, p22","t11, p2","t15, p24","t12, p44","t8, p7","t30, p36"
"t20, p22","t11, p2","t15, p24","t12, p44","t8, p7","t39, p36"
"t2, p22","t11, p16","t14, p24","t12, p44","t8, p7","t30, p36"
"t20, p22","t11, p16","t14, p24","t12, p44","t8, p7","t39, p36"
"t2, p22","t11, p2","t14, p24","t12, p44","t8, p7","t39, p36"
"t20, p22","t11, p2","t14, p24","t12, p44","t8, p7","t30, p36"
"t2, p22","t11, p16","t15, p24","t12, p23","t7, p7","t30, p36"
"t20, p22","t11, p16","t15, p24","t12, p23","t7, p7","t39, p36"
"t2, p22","t11, p2","t15, p24","t12, p23","t7, p7","t39, p36"
"t20, p22","t11, p2","t15, p24","t12, p23","t7, p7","t30, p36"
"t2, p22","t11, p16","t14, p24","t12, p23","t7, p7","t39, p36"
"t20, p22","t11, p16","t14, p24","t12, p23","t7, p7","t30, p36"
"t2, p22","t11, p2","t14, p24","t12, p23","t7, p7","t30, p36"
"t20, p22","t11, p2","t14, p24","t12, p23","t7, p7","t39, p36"
"t2, p22","t11, p16","t15, p24","t12, p44","t7, p7","t39, p36"
"t20, p22","t11, p16","t15, p24","t12, p44","t7, p7","t30, p36"
"t2, p22","t11, p2","t15, p24","t12, p44","t7, p7","t30, p36"
"t20, p22","t11, p2","t15, p24","t12, p44","t7, p7","t39, p36"
"t2, p22","t11, p16","t14, p24","t12, p44","t7, p7","t30, p36"
"t20, p22","t11, p16","t14, p24","t12, p44","t7, p7","t39, p36"
"t2, p22","t11, p2","t14, p24","t12, p44","t7, p7","t39, p36"
"t20, p22","t11, p2","t14, p24","t12, p44","t7, p7","t30, p36"
