nifB,nifE,nifK,nifM,nifN,nifS
7222,4688,11500,8734,8997,15100
8985,4688,11500,8734,8997,9184
7222,7733,11500,8734,8997,9184
8985,7733,11500,8734,8997,15100
7222,4688,15100,8734,8997,9184
8985,4688,15100,8734,8997,15100
7222,7733,15100,8734,8997,15100
8985,7733,15100,8734,8997,9184
7222,4688,11500,11400,8997,9184
8985,4688,11500,11400,8997,15100
7222,7733,11500,11400,8997,15100
8985,7733,11500,11400,8997,9184
7222,4688,15100,11400,8997,15100
8985,4688,15100,11400,8997,9184
7222,7733,15100,11400,8997,9184
8985,7733,15100,11400,8997,15100
7222,4688,11500,8734,11500,15100
8985,4688,11500,8734,11500,9184
7222,7733,11500,8734,11500,9184
8985,7733,11500,8734,11500,15100
7222,4688,15100,8734,11500,9184
8985,4688,15100,8734,11500,15100
7222,7733,15100,8734,11500,15100
8985,7733,15100,8734,11500,9184
7222,4688,11500,11400,11500,9184
8985,4688,11500,11400,11500,15100
7222,7733,11500,11400,11500,15100
8985,7733,11500,11400,11500,9184
7222,4688,15100,11400,11500,15100
8985,4688,15100,11400,11500,9184
7222,7733,15100,11400,11500,9184
8985,7733,15100,11400,11500,15100
