nifB,nifE,nifK,nifM,nifN,nifS
"t7, p44","t20, p16","t25, p22","t30, p7","t5, p36","t14, p26"
"t18, p44","t20, p16","t25, p22","t30, p7","t5, p36","t14, p26"
"t7, p44","t19, p16","t25, p22","t30, p7","t5, p36","t14, p26"
"t18, p44","t19, p16","t25, p22","t30, p7","t5, p36","t14, p26"
"t7, p44","t20, p16","t37, p22","t30, p7","t5, p36","t14, p26"
"t18, p44","t20, p16","t37, p22","t30, p7","t5, p36","t14, p26"
"t7, p44","t19, p16","t37, p22","t30, p7","t5, p36","t14, p26"
"t18, p44","t19, p16","t37, p22","t30, p7","t5, p36","t14, p26"
"t7, p44","t20, p16","t25, p22","t6, p7","t5, p36","t14, p26"
"t18, p44","t20, p16","t25, p22","t6, p7","t5, p36","t14, p26"
"t7, p44","t19, p16","t25, p22","t6, p7","t5, p36","t14, p26"
"t18, p44","t19, p16","t25, p22","t6, p7","t5, p36","t14, p26"
"t7, p44","t20, p16","t37, p22","t6, p7","t5, p36","t14, p26"
"t18, p44","t20, p16","t37, p22","t6, p7","t5, p36","t14, p26"
"t7, p44","t19, p16","t37, p22","t6, p7","t5, p36","t14, p26"
"t18, p44","t19, p16","t37, p22","t6, p7","t5, p36","t14, p26"
"t7, p44","t20, p16","t25, p22","t30, p7","t16, p36","t14, p26"
"t18, p44","t20, p16","t25, p22","t30, p7","t16, p36","t14, p26"
"t7, p44","t19, p16","t25, p22","t30, p7","t16, p36","t14, p26"
"t18, p44","t19, p16","t25, p22","t30, p7","t16, p36","t14, p26"
"t7, p44","t20, p16","t37, p22","t30, p7","t16, p36","t14, p26"
"t18, p44","t20, p16","t37, p22","t30, p7","t16, p36","t14, p26"
"t7, p44","t19, p16","t37, p22","t30, p7","t16, p36","t14, p26"
"t18, p44","t19, p16","t37, p22","t30, p7","t16, p36","t14, p26"
"t7, p44","t20, p16","t25, p22","t6, p7","t16, p36","t14, p26"
"t18, p44","t20, p16","t25, p22","t6, p7","t16, p36","t14, p26"
"t7, p44","t19, p16","t25, p22","t6, p7","t16, p36","t14, p26"
"t18, p44","t19, p16","t25, p22","t6, p7","t16, p36","t14, p26"
"t7, p44","t20, p16","t37, p22","t6, p7","t16, p36","t14, p26"
"t18, p44","t20, p16","t37, p22","t6, p7","t16, p36","t14, p26"
"t7, p44","t19, p16","t37, p22","t6, p7","t16, p36","t14, p26"
"t18, p44","t19, p16","t37, p22","t6, p7","t16, p36","t14, p26"
"t7, p44","t20, p16","t25, p22","t30, p7","t5, p36","t14, p24"
"t18, p44","t20, p16","t25, p22","t30, p7","t5, p36","t14, p24"
"t7, p44","t19, p16","t25, p22","t30, p7","t5, p36","t14, p24"
"t18, p44","t19, p16","t25, p22","t30, p7","t5, p36","t14, p24"
"t7, p44","t20, p16","t37, p22","t30, p7","t5, p36","t14, p24"
"t18, p44","t20, p16","t37, p22","t30, p7","t5, p36","t14, p24"
"t7, p44","t19, p16","t37, p22","t30, p7","t5, p36","t14, p24"
"t18, p44","t19, p16","t37, p22","t30, p7","t5, p36","t14, p24"
"t7, p44","t20, p16","t25, p22","t6, p7","t5, p36","t14, p24"
"t18, p44","t20, p16","t25, p22","t6, p7","t5, p36","t14, p24"
"t7, p44","t19, p16","t25, p22","t6, p7","t5, p36","t14, p24"
"t18, p44","t19, p16","t25, p22","t6, p7","t5, p36","t14, p24"
"t7, p44","t20, p16","t37, p22","t6, p7","t5, p36","t14, p24"
"t18, p44","t20, p16","t37, p22","t6, p7","t5, p36","t14, p24"
"t7, p44","t19, p16","t37, p22","t6, p7","t5, p36","t14, p24"
"t18, p44","t19, p16","t37, p22","t6, p7","t5, p36","t14, p24"
"t7, p44","t20, p16","t25, p22","t30, p7","t16, p36","t14, p24"
"t18, p44","t20, p16","t25, p22","t30, p7","t16, p36","t14, p24"
"t7, p44","t19, p16","t25, p22","t30, p7","t16, p36","t14, p24"
"t18, p44","t19, p16","t25, p22","t30, p7","t16, p36","t14, p24"
"t7, p44","t20, p16","t37, p22","t30, p7","t16, p36","t14, p24"
"t18, p44","t20, p16","t37, p22","t30, p7","t16, p36","t14, p24"
"t7, p44","t19, p16","t37, p22","t30, p7","t16, p36","t14, p24"
"t18, p44","t19, p16","t37, p22","t30, p7","t16, p36","t14, p24"
"t7, p44","t20, p16","t25, p22","t6, p7","t16, p36","t14, p24"
"t18, p44","t20, p16","t25, p22","t6, p7","t16, p36","t14, p24"
"t7, p44","t19, p16","t25, p22","t6, p7","t16, p36","t14, p24"
"t18, p44","t19, p16","t25, p22","t6, p7","t16, p36","t14, p24"
"t7, p44","t20, p16","t37, p22","t6, p7","t16, p36","t14, p24"
"t18, p44","t20, p16","t37, p22","t6, p7","t16, p36","t14, p24"
"t7, p44","t19, p16","t37, p22","t6, p7","t16, p36","t14, p24"
"t18, p44","t19, p16","t37, p22","t6, p7","t16, p36","t14, p24"
