nifB,nifE,nifK,nifM,nifN,nifS
4932,5591,3197,4719,4942,6243
7499,5591,3197,4719,4942,6243
4932,6633,3197,4719,4942,6243
7499,6633,3197,4719,4942,6243
4932,5591,5024,4719,4942,6243
7499,5591,5024,4719,4942,6243
4932,6633,5024,4719,4942,6243
7499,6633,5024,4719,4942,6243
4932,5591,3197,5907,4942,6243
7499,5591,3197,5907,4942,6243
4932,6633,3197,5907,4942,6243
7499,6633,3197,5907,4942,6243
4932,5591,5024,5907,4942,6243
7499,5591,5024,5907,4942,6243
4932,6633,5024,5907,4942,6243
7499,6633,5024,5907,4942,6243
4932,5591,3197,4719,6591,6243
7499,5591,3197,4719,6591,6243
4932,6633,3197,4719,6591,6243
7499,6633,3197,4719,6591,6243
4932,5591,5024,4719,6591,6243
7499,5591,5024,4719,6591,6243
4932,6633,5024,4719,6591,6243
7499,6633,5024,4719,6591,6243
4932,5591,3197,5907,6591,6243
7499,5591,3197,5907,6591,6243
4932,6633,3197,5907,6591,6243
7499,6633,3197,5907,6591,6243
4932,5591,5024,5907,6591,6243
7499,5591,5024,5907,6591,6243
4932,6633,5024,5907,6591,6243
7499,6633,5024,5907,6591,6243
4932,5591,3197,4719,4942,15100
7499,5591,3197,4719,4942,15100
4932,6633,3197,4719,4942,15100
7499,6633,3197,4719,4942,15100
4932,5591,5024,4719,4942,15100
7499,5591,5024,4719,4942,15100
4932,6633,5024,4719,4942,15100
7499,6633,5024,4719,4942,15100
4932,5591,3197,5907,4942,15100
7499,5591,3197,5907,4942,15100
4932,6633,3197,5907,4942,15100
7499,6633,3197,5907,4942,15100
4932,5591,5024,5907,4942,15100
7499,5591,5024,5907,4942,15100
4932,6633,5024,5907,4942,15100
7499,6633,5024,5907,4942,15100
4932,5591,3197,4719,6591,15100
7499,5591,3197,4719,6591,15100
4932,6633,3197,4719,6591,15100
7499,6633,3197,4719,6591,15100
4932,5591,5024,4719,6591,15100
7499,5591,5024,4719,6591,15100
4932,6633,5024,4719,6591,15100
7499,6633,5024,4719,6591,15100
4932,5591,3197,5907,6591,15100
7499,5591,3197,5907,6591,15100
4932,6633,3197,5907,6591,15100
7499,6633,3197,5907,6591,15100
4932,5591,5024,5907,6591,15100
7499,5591,5024,5907,6591,15100
4932,6633,5024,5907,6591,15100
7499,6633,5024,5907,6591,15100
