nifB,nifB,nifD,nifD,nifE,nifE,nifH,nifH,nifK,nifK,nifM,nifM,nifN,nifN,nifS,nifS,nifU,nifU
"t14, p38","t39, p35","t15, p19","t14, p14","t20, p15","t37, p30","t17, p22","t39, p7","t15, p22","t12, p18","t9, p24","t19, p36","t5, p7","t16, p7","t12, p18","t20, p9","t7, p23","t13, p16"
"t14, p2","t39, p35","t15, p19","t14, p14","t20, p15","t37, p30","t17, p38","t39, p12","t15, p1","t25, p18","t9, p20","t19, p34","t28, p7","t16, p28","t21, p18","t24, p9","t7, p23","t13, p16"
"t14, p38","t39, p2","t15, p19","t14, p14","t20, p15","t37, p30","t17, p38","t39, p12","t15, p1","t25, p18","t9, p20","t19, p34","t5, p7","t16, p7","t12, p18","t20, p9","t7, p11","t3, p16"
"t14, p2","t39, p2","t15, p19","t14, p14","t20, p15","t37, p30","t17, p22","t39, p7","t15, p22","t12, p18","t9, p24","t19, p36","t28, p7","t16, p28","t21, p18","t24, p9","t7, p11","t3, p16"
"t14, p38","t39, p35","t15, p22","t14, p14","t20, p15","t37, p30","t17, p38","t39, p12","t15, p1","t12, p18","t9, p24","t19, p36","t28, p7","t16, p28","t21, p18","t20, p9","t7, p11","t3, p16"
"t14, p2","t39, p35","t15, p22","t14, p14","t20, p15","t37, p30","t17, p22","t39, p7","t15, p22","t25, p18","t9, p20","t19, p34","t5, p7","t16, p7","t12, p18","t24, p9","t7, p11","t3, p16"
"t14, p38","t39, p2","t15, p22","t14, p14","t20, p15","t37, p30","t17, p22","t39, p7","t15, p22","t25, p18","t9, p20","t19, p34","t28, p7","t16, p28","t21, p18","t20, p9","t7, p23","t13, p16"
"t14, p2","t39, p2","t15, p22","t14, p14","t20, p15","t37, p30","t17, p38","t39, p12","t15, p1","t12, p18","t9, p24","t19, p36","t5, p7","t16, p7","t12, p18","t24, p9","t7, p23","t13, p16"
"t14, p38","t39, p35","t15, p19","t14, p26","t20, p15","t37, p30","t17, p38","t39, p7","t15, p22","t25, p18","t9, p20","t19, p36","t28, p7","t16, p28","t12, p18","t24, p9","t7, p11","t3, p16"
"t14, p2","t39, p35","t15, p19","t14, p26","t20, p15","t37, p30","t17, p22","t39, p12","t15, p1","t12, p18","t9, p24","t19, p34","t5, p7","t16, p7","t21, p18","t20, p9","t7, p11","t3, p16"
"t14, p38","t39, p2","t15, p19","t14, p26","t20, p15","t37, p30","t17, p22","t39, p12","t15, p1","t12, p18","t9, p24","t19, p34","t28, p7","t16, p28","t12, p18","t24, p9","t7, p23","t13, p16"
"t14, p2","t39, p2","t15, p19","t14, p26","t20, p15","t37, p30","t17, p38","t39, p7","t15, p22","t25, p18","t9, p20","t19, p36","t5, p7","t16, p7","t21, p18","t20, p9","t7, p23","t13, p16"
"t14, p38","t39, p35","t15, p22","t14, p26","t20, p15","t37, p30","t17, p22","t39, p12","t15, p1","t25, p18","t9, p20","t19, p36","t5, p7","t16, p7","t21, p18","t24, p9","t7, p23","t13, p16"
"t14, p2","t39, p35","t15, p22","t14, p26","t20, p15","t37, p30","t17, p38","t39, p7","t15, p22","t12, p18","t9, p24","t19, p34","t28, p7","t16, p28","t12, p18","t20, p9","t7, p23","t13, p16"
"t14, p38","t39, p2","t15, p22","t14, p26","t20, p15","t37, p30","t17, p38","t39, p7","t15, p22","t12, p18","t9, p24","t19, p34","t5, p7","t16, p7","t21, p18","t24, p9","t7, p11","t3, p16"
"t14, p2","t39, p2","t15, p22","t14, p26","t20, p15","t37, p30","t17, p22","t39, p12","t15, p1","t25, p18","t9, p20","t19, p36","t28, p7","t16, p28","t12, p18","t20, p9","t7, p11","t3, p16"
"t14, p38","t39, p35","t15, p19","t14, p14","t20, p16","t37, p30","t17, p22","t39, p12","t15, p22","t25, p18","t9, p24","t19, p34","t28, p7","t16, p7","t21, p18","t24, p9","t7, p11","t13, p16"
"t14, p2","t39, p35","t15, p19","t14, p14","t20, p16","t37, p30","t17, p38","t39, p7","t15, p1","t12, p18","t9, p20","t19, p36","t5, p7","t16, p28","t12, p18","t20, p9","t7, p11","t13, p16"
"t14, p38","t39, p2","t15, p19","t14, p14","t20, p16","t37, p30","t17, p38","t39, p7","t15, p1","t12, p18","t9, p20","t19, p36","t28, p7","t16, p7","t21, p18","t24, p9","t7, p23","t3, p16"
"t14, p2","t39, p2","t15, p19","t14, p14","t20, p16","t37, p30","t17, p22","t39, p12","t15, p22","t25, p18","t9, p24","t19, p34","t5, p7","t16, p28","t12, p18","t20, p9","t7, p23","t3, p16"
"t14, p38","t39, p35","t15, p22","t14, p14","t20, p16","t37, p30","t17, p38","t39, p7","t15, p1","t25, p18","t9, p24","t19, p34","t5, p7","t16, p28","t12, p18","t24, p9","t7, p23","t3, p16"
"t14, p2","t39, p35","t15, p22","t14, p14","t20, p16","t37, p30","t17, p22","t39, p12","t15, p22","t12, p18","t9, p20","t19, p36","t28, p7","t16, p7","t21, p18","t20, p9","t7, p23","t3, p16"
"t14, p38","t39, p2","t15, p22","t14, p14","t20, p16","t37, p30","t17, p22","t39, p12","t15, p22","t12, p18","t9, p20","t19, p36","t5, p7","t16, p28","t12, p18","t24, p9","t7, p11","t13, p16"
"t14, p2","t39, p2","t15, p22","t14, p14","t20, p16","t37, p30","t17, p38","t39, p7","t15, p1","t25, p18","t9, p24","t19, p34","t28, p7","t16, p7","t21, p18","t20, p9","t7, p11","t13, p16"
"t14, p38","t39, p35","t15, p19","t14, p26","t20, p16","t37, p30","t17, p38","t39, p12","t15, p22","t12, p18","t9, p20","t19, p34","t5, p7","t16, p28","t21, p18","t20, p9","t7, p23","t3, p16"
"t14, p2","t39, p35","t15, p19","t14, p26","t20, p16","t37, p30","t17, p22","t39, p7","t15, p1","t25, p18","t9, p24","t19, p36","t28, p7","t16, p7","t12, p18","t24, p9","t7, p23","t3, p16"
"t14, p38","t39, p2","t15, p19","t14, p26","t20, p16","t37, p30","t17, p22","t39, p7","t15, p1","t25, p18","t9, p24","t19, p36","t5, p7","t16, p28","t21, p18","t20, p9","t7, p11","t13, p16"
