nifB,nifB,nifD,nifD,nifE,nifE,nifH,nifH,nifK,nifK,nifM,nifM,nifN,nifN,nifS,nifS,nifU,nifU
946,411,2186,128,702,381,6228,6468,6327,4356,6917,7058,6397,7426,4356,3765,5645,5533
7860,411,2186,128,702,381,127,326,1009,871,1445,115,723,337,1075,969,5645,5533
946,4930,2186,128,702,381,127,326,1009,871,1445,115,6397,7426,4356,3765,1428,796
7860,4930,2186,128,702,381,6228,6468,6327,4356,6917,7058,723,337,1075,969,1428,796
946,411,6327,128,702,381,127,326,1009,4356,6917,7058,723,337,1075,3765,1428,796
7860,411,6327,128,702,381,6228,6468,6327,871,1445,115,6397,7426,4356,969,1428,796
946,4930,6327,128,702,381,6228,6468,6327,871,1445,115,723,337,1075,3765,5645,5533
7860,4930,6327,128,702,381,127,326,1009,4356,6917,7058,6397,7426,4356,969,5645,5533
946,411,2186,6243,702,381,127,6468,6327,871,1445,7058,723,337,4356,969,1428,796
7860,411,2186,6243,702,381,6228,326,1009,4356,6917,115,6397,7426,1075,3765,1428,796
946,4930,2186,6243,702,381,6228,326,1009,4356,6917,115,723,337,4356,969,5645,5533
7860,4930,2186,6243,702,381,127,6468,6327,871,1445,7058,6397,7426,1075,3765,5645,5533
946,411,6327,6243,702,381,6228,326,1009,871,1445,7058,6397,7426,1075,969,5645,5533
7860,411,6327,6243,702,381,127,6468,6327,4356,6917,115,723,337,4356,3765,5645,5533
946,4930,6327,6243,702,381,127,6468,6327,4356,6917,115,6397,7426,1075,969,1428,796
7860,4930,6327,6243,702,381,6228,326,1009,871,1445,7058,723,337,4356,3765,1428,796
946,411,2186,128,5591,381,6228,326,6327,871,6917,115,723,7426,1075,969,1428,5533
7860,411,2186,128,5591,381,127,6468,1009,4356,1445,7058,6397,337,4356,3765,1428,5533
946,4930,2186,128,5591,381,127,6468,1009,4356,1445,7058,723,7426,1075,969,5645,796
7860,4930,2186,128,5591,381,6228,326,6327,871,6917,115,6397,337,4356,3765,5645,796
946,411,6327,128,5591,381,127,6468,1009,871,6917,115,6397,337,4356,969,5645,796
7860,411,6327,128,5591,381,6228,326,6327,4356,1445,7058,723,7426,1075,3765,5645,796
946,4930,6327,128,5591,381,6228,326,6327,4356,1445,7058,6397,337,4356,969,1428,5533
7860,4930,6327,128,5591,381,127,6468,1009,871,6917,115,723,7426,1075,3765,1428,5533
946,411,2186,6243,5591,381,127,326,6327,4356,1445,115,6397,337,1075,3765,5645,796
7860,411,2186,6243,5591,381,6228,6468,1009,871,6917,7058,723,7426,4356,969,5645,796
946,4930,2186,6243,5591,381,6228,6468,1009,871,6917,7058,6397,337,1075,3765,1428,5533
7860,4930,2186,6243,5591,381,127,326,6327,4356,1445,115,723,7426,4356,969,1428,5533
946,411,6327,6243,5591,381,6228,6468,1009,4356,1445,115,723,7426,4356,3765,1428,5533
7860,411,6327,6243,5591,381,127,326,6327,871,6917,7058,6397,337,1075,969,1428,5533
946,4930,6327,6243,5591,381,127,326,6327,871,6917,7058,723,7426,4356,3765,5645,796
7860,4930,6327,6243,5591,381,6228,6468,1009,4356,1445,115,6397,337,1075,969,5645,796
946,411,2186,128,702,6737,6228,6468,1009,4356,1445,115,6397,337,1075,969,5645,796
7860,411,2186,128,702,6737,127,326,6327,871,6917,7058,723,7426,4356,3765,5645,796
946,4930,2186,128,702,6737,127,326,6327,871,6917,7058,6397,337,1075,969,1428,5533
7860,4930,2186,128,702,6737,6228,6468,1009,4356,1445,115,723,7426,4356,3765,1428,5533
946,411,6327,128,702,6737,127,326,6327,4356,1445,115,723,7426,4356,969,1428,5533
7860,411,6327,128,702,6737,6228,6468,1009,871,6917,7058,6397,337,1075,3765,1428,5533
946,4930,6327,128,702,6737,6228,6468,1009,871,6917,7058,723,7426,4356,969,5645,796
7860,4930,6327,128,702,6737,127,326,6327,4356,1445,115,6397,337,1075,3765,5645,796
946,411,2186,6243,702,6737,127,6468,1009,871,6917,115,723,7426,1075,3765,1428,5533
7860,411,2186,6243,702,6737,6228,326,6327,4356,1445,7058,6397,337,4356,969,1428,5533
946,4930,2186,6243,702,6737,6228,326,6327,4356,1445,7058,723,7426,1075,3765,5645,796
7860,4930,2186,6243,702,6737,127,6468,1009,871,6917,115,6397,337,4356,969,5645,796
946,411,6327,6243,702,6737,6228,326,6327,871,6917,115,6397,337,4356,3765,5645,796
7860,411,6327,6243,702,6737,127,6468,1009,4356,1445,7058,723,7426,1075,969,5645,796
946,4930,6327,6243,702,6737,127,6468,1009,4356,1445,7058,6397,337,4356,3765,1428,5533
7860,4930,6327,6243,702,6737,6228,326,6327,871,6917,115,723,7426,1075,969,1428,5533
946,411,2186,128,5591,6737,6228,326,1009,871,1445,7058,723,337,4356,3765,1428,796
7860,411,2186,128,5591,6737,127,6468,6327,4356,6917,115,6397,7426,1075,969,1428,796
946,4930,2186,128,5591,6737,127,6468,6327,4356,6917,115,723,337,4356,3765,5645,5533
7860,4930,2186,128,5591,6737,6228,326,1009,871,1445,7058,6397,7426,1075,969,5645,5533
946,411,6327,128,5591,6737,127,6468,6327,871,1445,7058,6397,7426,1075,3765,5645,5533
7860,411,6327,128,5591,6737,6228,326,1009,4356,6917,115,723,337,4356,969,5645,5533
946,4930,6327,128,5591,6737,6228,326,1009,4356,6917,115,6397,7426,1075,3765,1428,796
7860,4930,6327,128,5591,6737,127,6468,6327,871,1445,7058,723,337,4356,969,1428,796
946,411,2186,6243,5591,6737,127,326,1009,4356,6917,7058,6397,7426,4356,969,5645,5533
7860,411,2186,6243,5591,6737,6228,6468,6327,871,1445,115,723,337,1075,3765,5645,5533
946,4930,2186,6243,5591,6737,6228,6468,6327,871,1445,115,6397,7426,4356,969,1428,796
7860,4930,2186,6243,5591,6737,127,326,1009,4356,6917,7058,723,337,1075,3765,1428,796
946,411,6327,6243,5591,6737,6228,6468,6327,4356,6917,7058,723,337,1075,969,1428,796
7860,411,6327,6243,5591,6737,127,326,1009,871,1445,115,6397,7426,4356,3765,1428,796
946,4930,6327,6243,5591,6737,127,326,1009,871,1445,115,723,337,1075,969,5645,5533
7860,4930,6327,6243,5591,6737,6228,6468,6327,4356,6917,7058,6397,7426,4356,3765,5645,5533
