nifB,nifD,nifE,nifH,nifK,nifM,nifN,nifS,nifU
"t39, p7","t6, p44","t4, p25","t19, p16","t8, p22","t7, p23","t21, p20","t10, p11","t24, p21"
"t1, p9","t6, p44","t16, p36","t2, p1","t8, p22","t7, p23","t14, p26","t10, p11","t24, p21"
"t39, p7","t11, p31","t16, p36","t19, p16","t23, p18","t7, p23","t14, p26","t37, p24","t24, p21"
"t1, p9","t6, p44","t4, p25","t19, p16","t8, p22","t25, p19","t14, p26","t37, p24","t12, p2"
"t1, p9","t11, p31","t16, p36","t2, p1","t8, p22","t7, p23","t21, p20","t37, p24","t12, p2"
"t1, p9","t11, p31","t4, p25","t19, p16","t23, p18","t7, p23","t14, p26","t10, p11","t12, p2"
"t39, p7","t11, p31","t4, p25","t2, p1","t8, p22","t25, p19","t14, p26","t37, p24","t24, p21"
"t39, p7","t6, p44","t4, p25","t2, p1","t23, p18","t7, p23","t21, p20","t37, p24","t12, p2"
"t39, p7","t6, p44","t16, p36","t2, p1","t23, p18","t25, p19","t14, p26","t10, p11","t12, p2"
"t1, p9","t6, p44","t16, p36","t19, p16","t23, p18","t25, p19","t21, p20","t37, p24","t24, p21"
"t39, p7","t11, p31","t16, p36","t19, p16","t8, p22","t25, p19","t21, p20","t10, p11","t12, p2"
"t1, p9","t11, p31","t4, p25","t2, p1","t23, p18","t25, p19","t21, p20","t10, p11","t24, p21"
