nifB,nifD,nifE,nifH,nifK,nifM,nifN,nifS,nifU
6468,6801,861,6633,6405,5645,815,924,886
974,6801,6591,866,6405,5645,6243,924,886
6468,888,6591,6633,871,5645,6243,6737,886
974,6801,861,6633,6405,831,6243,6737,7140
974,888,6591,866,6405,5645,815,6737,7140
974,888,861,6633,871,5645,6243,924,7140
6468,888,861,866,6405,831,6243,6737,886
6468,6801,861,866,871,5645,815,6737,7140
6468,6801,6591,866,871,831,6243,924,7140
974,6801,6591,6633,871,831,815,6737,886
6468,888,6591,6633,6405,831,815,924,7140
974,888,861,866,871,831,815,924,886
