nifB,nifE,nifK,nifM,nifN,nifS,yield,yieldSD
4932.0,5591.0,3197.0,4719.0,4942.0,6243.0,450.0,4.358898943540674
7499.0,5591.0,3197.0,4719.0,4942.0,6243.0,458.6666666666667,30.98924544633724
4932.0,6633.0,3197.0,4719.0,4942.0,6243.0,438.6666666666667,12.662279942148386
7499.0,6633.0,3197.0,4719.0,4942.0,6243.0,458.3333333333333,42.335957923889396
4932.0,5591.0,5024.0,4719.0,4942.0,6243.0,447.6666666666667,27.392213005402343
7499.0,5591.0,5024.0,4719.0,4942.0,6243.0,439.6666666666667,18.556220879622373
4932.0,6633.0,5024.0,4719.0,4942.0,6243.0,465.0,7.937253933193772
7499.0,6633.0,5024.0,4719.0,4942.0,6243.0,441.3333333333333,25.658007197234422
4932.0,5591.0,3197.0,5907.0,4942.0,6243.0,459.6666666666667,17.243356208503418
7499.0,5591.0,3197.0,5907.0,4942.0,6243.0,451.6666666666667,9.073771725877467
4932.0,6633.0,3197.0,5907.0,4942.0,6243.0,441.3333333333333,23.288051299611425
7499.0,6633.0,3197.0,5907.0,4942.0,6243.0,461.0,24.576411454889016
4932.0,5591.0,5024.0,5907.0,4942.0,6243.0,439.0,11.532562594670797
7499.0,5591.0,5024.0,5907.0,4942.0,6243.0,445.3333333333333,8.962886439832502
4932.0,6633.0,5024.0,5907.0,4942.0,6243.0,427.3333333333333,6.8068592855540455
7499.0,6633.0,5024.0,5907.0,4942.0,6243.0,461.6666666666667,25.716402029314548
4932.0,5591.0,3197.0,4719.0,6591.0,6243.0,447.6666666666667,19.139836293274122
7499.0,5591.0,3197.0,4719.0,6591.0,6243.0,450.3333333333333,11.71893055416463
4932.0,6633.0,3197.0,4719.0,6591.0,6243.0,467.3333333333333,27.006172134038792
7499.0,6633.0,3197.0,4719.0,6591.0,6243.0,432.6666666666667,30.02221399786054
4932.0,5591.0,5024.0,4719.0,6591.0,6243.0,443.0,32.51153641401772
7499.0,5591.0,5024.0,4719.0,6591.0,6243.0,435.0,6.082762530298219
4932.0,6633.0,5024.0,4719.0,6591.0,6243.0,438.3333333333333,15.50268793897798
7499.0,6633.0,5024.0,4719.0,6591.0,6243.0,459.0,34.219877264537345
4932.0,5591.0,3197.0,5907.0,6591.0,6243.0,450.3333333333333,16.502525059315417
